Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
120,10.1016/j.jpowsour.2012.06.068,Ascorbic-acid-assisted recovery of cobalt and lithium from spent Li-ion batteries,"Recycling of the major components from spent Li-ion batteries (LIBs) is considered desirable to prevent environmental pollution and recycle valuable metals. The present work investigates a novel process for recovering Co and Li from the cathode materials (containing LiCoO2 and Al) by a combination of ultrasonic washing, calcination, and organic acid leaching. Copper can also be recovered from the anode materials after they are manually separated from the cathode. Ascorbic acid is chosen as both leaching reagent and reducing agent to improve the Co recovery efficiency. Leaching efficiencies as high as 94.8% for Co and 98.5% for Li are achieved with a 1.25 mol Lâˆ’1 ascorbic acid solution, leaching temperature of 70 Â°C, leaching time of 20 min, and solid-to-liquid ratio of 25gLâˆ’1. The acid leaching reaction mechanism has been preliminarily studied based on the structure of ascorbic acid. This method is shown to offer an efficient way to recycle valuable materials from spent LIBs, and it can be scaled up for commercial application.",Lithium-ion batteries (LIBs),"a novel process for recovering Co and Li from the cathode materials (containing LiCoO2 and Al) by a combination of ultrasonic washing, calcination, and organic acid leaching","1.25 mol Lâˆ’1 ascorbic acid solution, leaching temperature of 70 Â°C, leaching time of 20 min, solid-to-liquid ratio of 25gLâˆ’1",Co and Li,70,Cobalt (Co)|Lithium (Li),94.8|98.5,leaching efficiency,Co,94.80%,Li,98.50%,,,,,,,155.45667,82763.75
171,10.1016/j.cej.2023.146554,Efficient separation of Fe and Li from spent LiFePO4 materials and preparation of high-performance P-C/FeS anode material by cation exchange resin,"With the increased consumption of LiFePO4 batteries, the number of spent batteries has also increased sharply, and recycling LiFePO4 batteries has become an urgent task today. Herein, we propose a high-efficient strategy for separation of Fe and Li from leaching solution of spent LiFePO4 materials by cation exchange resin and a new method for preparation of high-performance anode materials. The adsorption efficiencies of Fe and Li by cation exchange resin were 99.9 % and 5.3 % under the conditions of solidâ€“liquid ratio of 1:5, flow rate of 4 BV/h, and Fe and Li concentrations of 2.88 g/L and 0.44 g/L, respectively. High-purity Li2CO3 could be successfully produced from the effluent of resin adsorption. The Fe-saturated waste cation exchange resin was used to prepare the porous-C/FeS (P-C/FeS) composite with FeS content of 41 %, which was characterized by XRD, XPS, SEM, TEM and TGA analysis. The P-C/FeS materials exhibited remarkable electrochemical performance when using as anode materials, which could deliver a high discharge capacity of 372.8 mA gâˆ’1 after 500 cycles at 5 A/g for lithium-ion batteries, and a discharge capacity of 246.5 mAh gâˆ’1 after 500 cycles at 1.0 A/g for sodium-ion batteries. The in situ XRD analysis demonstrated the transformation reaction between Li+ and FeS. This work offers a green strategy toward the recycling of both spent lithium-ion batteries and waste cation exchange resins.",Lithium-ion batteries (LIBs),"solvent extraction, thermal reduction","pH 1.2, 100 Â°C, 400 g/L, 400 g/L, 400 g/L, 100 Â°C, pH 1.2",,100,Iron (Fe)|Lithium (Li),99.9|5.3,adsorption efficiency,Fe,99.90%,Li,5.30%,,,,,,,7907.45,17947.92
203,10.1016/j.envres.2022.113286,High-efficiency leaching of valuable metals from waste Li-ion batteries using deep eutectic solvents,"With the penetration of lithium-ion batteries (LIBs) into electric vehicles, the recycling of waste LIBs is inevitable from the perspective of health, economy and environmental protection. Herein is reported a novel green method for extracting valuable metals from the cathode of LIBs, in which the Deep Eutectic Solvent (DES) is used as leachate to dissolve electrode material waste. Mixing choline chloride (ChCl) and malonic acid is helpful to effectively improve the reduction ability of DES, resulting in superior leaching efficiency. At the lower temperature (100 Â°C), the leaching efficiency of cobalt and lithium reached up to 98.61% and 98.78%, respectively. X-ray absorption near edge structure (XANES) spectroscopy demonstrated that DESs could act as both leachate and reducing agent, which could destroy the covalent bonds of metal oxides to form a cobalt (II)-chlorine complex. This method is straightforward to operate and does not involve the additional reducing agents, which is held promise to bring economic and sustainable development prospects in the field of lithium battery development.",Lithium-ion batteries (LIBs),"Deep Eutectic Solvent (DES), leachate to dissolve electrode material waste",100 Â°C,,100,Cobalt (Co)|Lithium (Li),98.61|98.78,leaching efficiency,Co,98.61%,Li,98.78%,,,,,,,64.35133,133591.504
36,10.1016/j.jpowsour.2021.230827,In situ reduction of cathode material by organics and anode graphite without additive to recycle spent electric vehicle LiMn2O4 batteries,"In a conventional roasting-sorting process to obtain cathode powders, the phase structure of LiMn2O4 is not dissociated and the valence of manganese is not changed, resulting in low metal recovery efficiency and high reagent cost in the subsequent leaching process. In this context, a novel process is developed to realize the recovery of spent LiMn2O4 lithium-ion batteries (LIBs) via one-step pyrolysis and reductant-free acid leaching. The leaching efficiencies of lithium and manganese are respectively 99.9% and 99.4% under the optimal pyrolysis conditions: a temperature of 500 Â°C, a nitrogen flow rate of 50 mL/min, and a pyrolysis time of 60 min. The analysis of thermogravimetry-infrared spectroscopy indicates volatilization of electrolyte and decomposition of LiPF6 occur in the temperature range of 100â€“180 Â°C. When the temperature rises from 180 to 800 Â°C, high molecular weight polymers (binder and separator) are degraded into pyrolytic gas and oil. LiMn2O4 is deconstructed and reduced to MnO and Li2CO3 under the synergistic effect of pyrolytic gas and anode graphite. The harmful fluorine and phosphorus are absorbed by Ca(OH)2 solution to avoid environmental hazards. The results suggest that the process integrated pyrolysis and aicd leaching is efficient, environmental-friendly, and low-cost for recycling spent LiMn2O4 LIBs.",Lithium-ion batteries (LIBs),one-step pyrolysis and reductant-free acid leaching,"500 Â°C, 50 mL/min, 60 min",lithium and manganese,500,Lithium (Li)|Manganese (Mn),99.9|99.4,leaching efficiency,Li,99.90%,Mn,99.40%,,,,,,,4.721,1129412.88
61,10.1016/j.jclepro.2017.01.095,Leaching and separation of Co and Mn from electrode materials of spent lithium-ion batteries using hydrochloric acid: Laboratory and pilot scale study,"The present work is focused on the leaching and separation of Co and Mn from electrode material of spent lithium-ion batteries. The influences of different process parameters like HCl concentration, time, and temperature on the leaching of Co and Mn are studied. Higher than 99% leaching efficiencies of Co and Mn were obtained in 90 min using 1.75 M HCl at 50 Â°C. In the subsequent precipitation study, Mn was removed selectively from the leach solution by using sodium hypochlorite solution (1.5 times stoichiometric requirement) at a pH of 1.5 in 30 min. X-ray diffraction analysis of precipitated manganese indicate the presence of mixtures of manganese oxides (MnO2, Mn3O4 and Na0.55Mn2O4.1.5H2O). Cobalt in the Mn free solution was precipitated by using sodium carbonate solution after removing the traces amount of Al and Cu. Overall recovery of Mn and Co is 95% and 90%, respectively in pilot scale. The flow sheet proposed for the leaching and separation of Co and Mn is of a simple and efficient technique for the recycling industries.",Lithium-ion batteries (LIBs),leaching and precipitation,"HCl concentration: 1.75 M, time: 90 min, temperature: 50 Â°C",Mn and Co,50,Cobalt (Co)|Manganese (Mn),99|99,leaching efficiency,Co,99%,Mn,99%,,,,,,,22.47333,13068
71,10.1016/j.jpowsour.2013.08.128,Hydrometallurgical process for the recovery of high value metals from spent lithium nickel cobalt aluminum oxide based lithium-ion batteries,"A hydrometallurgical process is developed to recover valuable metals of the lithium nickel cobalt aluminum oxide (NCA) cathodes from spent lithium-ion batteries (LIBs). Effect of parameters such as type of acid (H2SO4, HNO3 and HCl), acid concentration (1â€“4 mol Lâˆ’1), leaching time (3â€“18 h) and leaching temperature (25â€“90 Â°C) with a solid to liquid ratio fixed at 5% (w/v) are investigated to determine the most efficient conditions of dissolution. The preliminary results indicate that HCl provides higher leaching efficiency. In optimum conditions, a complete dissolution is performed for Li, Ni, Co and Al. In the nickel and cobalt recovery process, at first the Co(II) in the leaching liquor is selectively oxidized in Co(III) with NaClO reagent to recover Co2O3, 3H2O by a selective precipitation at pH = 3. Then, the nickel hydroxide is precipitated by a base addition at pH = 11. The recovery efficiency of cobalt and nickel are respectively 100% and 99.99%.",Lithium-ion batteries (LIBs),Hydrometallurgical process,"1â€“4 mol Lâˆ’1, 25â€“90 Â°C, a solid to liquid ratio fixed at 5% (w/v)","Co2O3, 3H2O, nickel hydroxide",90,Cobalt (Co)|Nickel (Ni),100|99.99,recovery efficiency,Co,100%,Ni,99.99%,,,,,,,0.0695,30518.418
141,10.1016/j.seppur.2023.124653,High-efficiency leaching of Li and Ni from spent lithium-ion batteries based on sodium persulfate,"Herein, the preferential leaching of Li and Ni from spent lithium-ion batteries was put forward for the first time. Firstly, the stable structure of cathode material was destroyed by reduction roasting, and then Li and Ni in roasted product were leached in sodium persulfate solution. Through adjusting the redox potential and pH of the solution, Li and Ni could exist in the solution in the form of Li+ and Ni2+, while Co and Mn remained in the residue mainly in the form of Co3O4 and MnO2. The leaching efficiencies of Li and Ni were 95.07% and 96.02% under the optimized conditions, respectively. Kinetic analysis showed that the leaching process was controlled by surface chemical reaction. In addition, XPS, XRD, thermodynamic analysis, and SEM-EDS were used to explore the mechanism. This method could effectively simplify the recovery and separation process, providing a new thought for the utilization of spent lithium-ion batteries.",Lithium-ion batteries (LIBs),leaching method,"optimal conditions: pH=1.0, H2SO4=4.0 mol/L, and 25 Â°C, and leaching efficiency of Li and Ni were 95.07% and 96.02%, respectively",Li and Ni,25,Lithium (Li)|Nickel (Ni),95.07|96.02,leaching efficiency,Li,95.07%,Ni,96.02%,,,,,,,174.09967,8153.889833
97,10.1016/j.seppur.2023.125237,Mechanism of selective lithium extraction from spent LiFePO4 cathodes in oxidizing alkaline leaching system,"Lithium-ion batteries (LIBs) usher in an explosive growth, but followed by many spent LIBs processing problems. Recycling the spent LIBs with both economic attributes and environmental benefits is imperative. However, the existing recycling processes have the problem of high cost, low efficiency and environmental pollution. In this study, NaOH is innovatively adopted as leaching agent for the hydrometallurgical recovery of spent LiFePO4 cathodes, realizing the efficiently selective lithium extraction without additional oxidizing agent addition. Meanwhile, Li3PO4 product is obtained by in-situ concentration of the leaching solution without adding precipitant, and Fe2O3 by-product can be obtained by leaching residue. Under the conditions of 2 mol/L NaOH, L/S ratio of 50:1 mL/g, 50 Â°C and 2 h, the leaching efficiencies of Li and P can reach 98.2 % and 99.9 %, and all of Fe is converted into Fe3O4. The kinetic study reveals that the leaching process is controlled by chemical reaction. Moreover, it is innovatively found that NaOH play the dual role of leaching agent and oxidant, and the Na+ may have intercalation effect on the structure of LiFePO4. Compared with traditional process, this method has the advantages of low cost, high efficiency and environmental friendliness.",Lithium-ion batteries (LIBs),hydrometallurgical recovery,"2 mol/L NaOH, L/S ratio of 50:1 mL/g, 50 Â°C and 2 h",LiFePO4,50,Lithium (Li)|Phosphorus (P),98.2|99.9,leaching efficiency,Li,98.20%,P,99.90%,,,,,,,150.3,124704.18
23,10.1016/j.mineng.2021.107226,Treatment of valuable metals from leaching solution of spent lithium-ion batteries,"The process of recovering metals from spent lithium-ion batteries is difficult due to the complexity of the metal components. Therefore, the separation and extraction of metal ions from the leaching solution of spent lithium-ion batteries requires a set of hydrometallurgical processes. In this research, precipitation and solvent extraction processes have been used to the final recovery of metals. Initially, by applying potassium permanganate with molar ratio of manganese ions to potassium permanganate: 2 and pH: 2, 96.5% of manganese ions were precipitated and separated from the leaching solution. Then, via dimethylglyoxime in molar ratio of nickel ions to dimethylglyoxime: 0.5, and pH: 5, 96% nickel recovered, approximately. Subsequently, using 30 v/v% D2EHPA and 5 v/v% TBP respectively as an extractant and a modifier of the organic phase, and under optimal conditions of Vo/Va: 1, pH: 5, temperature 25 Â°C, time 20 min and mixing speed 400 rpm, it is possible to achieve 93.38% cobalt extraction efficiency and also control the loss of lithium at 16.74%. Finally, in the molar ratio of lithium ions to sodium carbonate: 0.7, temperature 100 Â°C, time 40 min, mixing speed 400 rpm and the pH: 12, the lithium precipitation efficiency reached to 98.84%.",Lithium-ion batteries (LIBs),leaching process,"pH: 12, time 40 min, mixing speed 400 rpm, temperature 100 Â°C",lithium,100,Cobalt (Co),93.38,extraction efficiency,Co,93.38%,,,,,,,,,217.136,31375.68
33,10.1016/j.jhazmat.2021.127586,A sodium salt-assisted roasting approach followed by leaching for recovering spent LiFePO4 batteries,"Mild-temperature (<1000 Â°C) carbothermic reduction has been proven as an effective way to recover Li and transition metals by converting lithium transition metal oxides to transition metals/alloys and Li2CO3. However, LiFePO4 cannot be reduced by carbon because of its thermodynamically stable olivine structure. Herein, LiFePO4 is converted to Fe and lithium salts by carbon with the assistance of Na2CO3 that acts as an activating agent to break down the chemical bonds of LiFePO4 and thereby enable the carbothermic reduction. Using Na2CO3 as the activating agent, LiFePO4 was reduced to Fe, NaLi2PO4, and LiNa5(PO4)2 which can be separated by magnetic separation with a Li recovery rate of 99.2%. Using NaOH as the activating agent, LiFePO4 was oxidized to Fe3O4, NaLi2PO4 and LiNa5(PO4)2 at 600 Â°C, and the roasted products can be separated by magnetic separation process with a Li recovery rate of 92.7%. Various sodium salts were tested to screen proper salts for the reduction process, and a 400-g scale roasting-separation process has been demonstrated. Overall, the salt-assisted roasting is a promising way to recycle spent LiFePO4 batteries without using strong mineral acids and shows great potential for the industrial-scale implementation.",Lithium-ion batteries (LIBs),roasting-leaching-solvent extraction process,"temperature: 400 Â°C, leaching time: 2 h, solvent extraction time: 2 h, pH: 1.5, H2SO4: 0.25 M, H2O2: 0.1 M, Na2S2O3: 0.1 M","lithium, iron, nickel, cobalt",400,Lithium (Li),99.2,recovery rate,Li,99.20%,,,,,,,,,66.8,1595671.68
42,10.1016/j.wasman.2024.02.023,Efficient purification and high-quality regeneration of graphite from spent lithium-ion batteries by surfactant-assisted methanesulfonic acid,"With the vigorous development of the new energy industry, the use of lithium-ion batteries (LIBs) is growing exponentially, and the recycling of spent LIBs has gradually become a research hotspot. Currently, recycling both cathode and anode materials of LIBs is important to environmental protection and resource recycling. This research reportsa method ofefficient purification and high-quality regeneration of graphite from spent LIBs by surfactant-assisted methanesulfonic acid (MSA). Under the optimal conditions (0.006 mol/L sodium dodecyl sulfonate, 0.25 mol/L MSA, 10 vol% hydrogen peroxide, liquidâ€“solid ratio of 30:1 mL/g, 60 Â°C, 1.5 h), the purity of the regenerated graphite was 99.7 %, and the recovery efficiency was 98.0 %. The regenerated graphite showed the characteristics of small interplanar spacing, high degree of graphitization, a small number of surface defects, and excellent pore structure, which was closer to commercial graphite. Furthermore, the regenerated graphite electrode exhibited superior rate performance and cycling stability with a high specific capacity of 397.03 mAh/g after 50 cycles at 0.1C and a chargeâ€“discharge efficiency of 99.33 %. The recovery of anode graphite beneficial for resource utilization, environmental protection, and cost control throughout the entire production chain.",Lithium-ion batteries (LIBs),surfactant-assisted methanesulfonic acid (MSA),"0.006 mol/L sodium dodecyl sulfonate, 0.25 mol/L MSA, 10 vol% hydrogen peroxide, liquidâ€“solid ratio of 30:1 mL/g, 60 Â°C, 1.5 h",graphite,60,Graphite (C (Graphite)),98,recovery efficiency,C (Graphite),98%,,,,,,,,,0.244,27832
46,10.1016/j.jece.2023.110060,Sodium sulfite roasting for preferential lithium extraction from cathode material of spent lithium-ion batteries,"Spent lithium-ion batteries can be recycled to effectively re-utilize them. This can be conducive to secondary resource utilization as well as environmental protection. Here, it is suggested to roast the spent cathode materials with sodium sulfite to extract lithium more effectively. Under the ideal circumstances of a roasting temperature of 750 Â°C, the molar ratio of Na2SO3 to spent cathode material of 3.0, and a roasting period of 2 h, the leaching efficiency of Li reaches 94.06%. During the sodium sulfite roasting process, the spent LiNi0.6Co0.2Mn0.2O2 materials were transformed into LiNa(SO4), LiMnO2, NiO, LiMn2O4, Co9S8, and Ni, Co, and Mn. The LiNi0.6Co0.2Mn0.2O2 materials that were produced using the recovered Li2CO3 exhibit good electrochemical performance. The closed-loop process based on Sodium sulfite roasting is expected to be applied in the recycling industry of spent lithium-ion batteries.",Lithium-ion batteries (LIBs),Sodium sulfite roasting,"750 Â°C, molar ratio of Na2SO3 to spent cathode material of 3.0, roasting period of 2 h",LiNi0.6Co0.2Mn0.2O2 materials,750,Lithium (Li),94.06,leaching efficiency,Li,94.06%,,,,,,,,,495.99,2906538.654
53,10.1016/j.eti.2022.102915,Hydrometallurgical leaching and recovery of cobalt from lithium ion battery,"The main aim of this work was to test the ability of an amino acid (i.e. glycine) to leach cobalt from Li ion batteries (LiBs). The process parameters namely temperature, pulp density and concentration of glycine were optimized for maximizing the leaching efficiency of cobalt from the cathodic material. Response surface methodology (RSM) was applied for determining the experimental conditions instead of using the traditional one factor at a time (OFAT) approach in order to ascertain the interaction effects between the different factors. Thus, the optimal leaching value based on RSM and maximum cobalt leaching potential from LiBs was obtained. The optimum values for the parameters were as follows; temperature = 74 Â°C, pulp density = 19.9 g/L and glycine concentration = 0.936 M. Under this optimum condition, the cobalt leaching efficiency was 61.8%, while a maximum leaching of 89.7% was achieved at the following conditions: temperature = 100 Â°C, pulp density = 13.8 g/L and glycine concentration = 1.24 M. Oxalic acid was used for recovering cobalt from the leaching solution by varying the pH and molar ratio of oxalic acid and cobalt ions. Cobalt recovery efficiencies were âˆ¼ 88.0% at pH 7.0 and at oxalic acid to cobalt ion molar ratio of 2.5:1.0.",Lithium-ion batteries (LIBs),leaching,"100 Â°C, pulp density = 13.8 g/L and glycine concentration = 1.24 M",cobalt,100,Cobalt (Co),88,recovery efficiency,Co,88%,,,,,,,,,393.6,29568
63,10.1016/j.cej.2022.140626,Green and sustainable route for the efficient leaching and recovery of valuable metals from spent Niâˆ’Cd batteries,"Recycling of Ni, Cd and Co from spent Niâˆ’Cd batteries is significant for preventing nickel and cobalt deficiency and protecting the environment. Although several studies have developed methods for recycling these metals from spent Niâˆ’Cd batteries, the simultaneous leaching (extraction) and recovery of Ni, Cd and Co via an environmentally benign and economical manner is still challenging. Herein, a formic acid-assisted method for leaching and recovering valuable metals from the cathode and anode materials of spent Niâˆ’Cd batteries is proposed. The effects of temperature, time, and liquid/solid ratio on Ni, Cd, and Co leaching were also extensively investigated. The single factor experimental results and statistical analysis revealed that more than 95 % leaching efficiencies of Cd and Co could be achieved from the cathode and anode materials at 80 Â°C and 2.5 h, while a maximum of 81 % Ni leaching was attained in formic acid at 90 Â°C, 4 h and a 30 mL/g liquid/solid ratio. Moreover, the statistical analysis results revealed that the temperature and time had significant effect (Ï < 0.0001) on Ni and Cd leaching. It was difficult to leach metallic Ni present in the cathode material because of its high inertness property; however, a conversion of 99.70 % Ni was achieved at 60 Â°C for 2 h when H2O2 (15 %, v/v) was used as an oxidizing agent. The findings of this study suggest that the formic acid-assisted recycling process could be a sustainable alternative for the efficient leaching and recovery of valuable metals from spent Niâˆ’Cd batteries because it features a reduced highly corrosive acid consumption, mild leaching conditions, and less environmental footprints.",Lithium-ion batteries (LIBs),pyrolysis process,"temperature of 450 Â°C, during 30 min",graphite,450,Nickel (Ni),81,leaching efficiency,Ni,81%,,,,,,,,,264.1,157431.6
73,10.1016/j.wasman.2023.05.034,Lithium recovery and solvent reuse from electrolyte of spent lithium-ion battery,"Great progresses have been made in recovering valuable metals or regenerating materials from spent lithium-ion batteries (LIBs), but how to treat the spent electrolyte and recover its valuable components economically are still a bottleneck. In this study, the volatile organic solvents (dimethyl carbonate (DMC) and diethyl carbonate (DEC)) in spent electrolyte were recycled through vacuum distillation based on thermodynamic analysis and reused for LIBs. The recovery efficiencies of DMC and DEC reach almost 100% and 79.40%, respectively, under the distillation temperature of 130 Â°C for 120 min. The prepared electrolyte by recovered DMC and DEC shows high discharge capacity and good cycle performance (discharge capacity retention is over 99% after 400 cycles at 1C) by Li/graphite battery. Moreover, lithium left in non-volatile components (ethylene carbonate (EC)) was recovered as lithium carbonate (purity is 92.45%) with a recovery efficiency of 86.93%. The proposed process sheds light on the comprehensive recycling of electrolyte from spent LIBs.",Lithium-ion batteries (LIBs),vacuum distillation,130 Â°C for 120 min,lithium carbonate (purity is 92.45%) with a recovery efficiency of 86.93%,130,Lithium (Li),86.93,recovery efficiency,Li,86.93%,,,,,,,,,1091.345,404772.159
79,10.1016/j.jwpe.2023.104621,Optimizing cellulose nanofiber composite for Co2+ ions recovery from lithium-ion battery wastes and removal from wastewater: A green environmental solution,"In this study, we have introduced an advanced composite material that combines the remarkable properties of cellulose nanofibers (CNFs) with a tailored surface to enable the concentration, spectrophotometric detection, removal of Co2+ ions from wastewater samples and recovery of Co2+ ions from lithium-ion battery waste. CNFs, known for their eco-friendly nature and exceptional surface characteristics, serve as an ideal substrate for immobilizing the (3,3â€²-((1E,1â€²E)-((4-nitro-1,2-phenylene) bis(azaneylylidene)) bis(methaneylylidene)) bis(2-hydroxybenzoic acid) (NAMH) chromophoric ligand. The resulting CNFs-NAMH composite displays extraordinary sensitivity to Co2+ ions in aqueous solutions, achieving an impressive limit of detection (LOD) as 0.87 ppb. This exceptional sensitivity allows for straightforward visual detection with the naked eye. A noteworthy feature of the CNFs-NAMH composite is its rapid and distinct color change in approximately a minute upon exposure to varying concentrations of Co2+ ions. Moreover, this composite demonstrates high efficiency in removing Co2+ in polluted wastewater samples and recovering Co2+ ions from lithium-ion batteries, with a high efficiency of up to 79.5 % for Co2+ ions recovery from lithium-ion batteries and removal efficiency of 97.35 % for Co2+ from wastewater samples. This capability addresses critical environmental concerns associated with wastewater treatment and lithium-ion battery waste and provides a practical and sustainable approach for reclaiming valuable Cobalt ions.",Lithium-ion batteries (LIBs),solvent extraction,"pH 1.0, 25 Â°C, 100 g/L, 20 min",cobalt,25,Cobalt (Co),88.43,removal efficiency,Co,88.43%,,,,,,,,,379.496,1857.03
85,10.1016/j.cej.2024.152299,Recycling Co and Li from spent lithium-ion batteries with the pyrolysis gases of retired photovoltaics panels,"Large-scale installations of lithium-ion batteries (LIBs) and photovoltaics (PV) modules have been continuously accelerating in recent decades, and the resultant challenge of how to cope with the waste LIBs and PV panels is initially emerging. Here we utilize the pyrolysis gases of the waste PV modules to reduce the LiCoO2 obtained from the waste LIBs. During pyrolysis, nearly 85â€“95 wt% of waste PV back sheet is decomposed into reducing gases (CO, CH4, C2H4) at 500 Â°C. With the assistance of these gases, waste LiCoO2 can be reduced and transformed to water-soluble Li2CO3 and water-insoluble CoO/Co. A high Li recovery rate of 98.5 % is achieved after a 5-min roasting process at 500 Â°C in a closed reactor. The optimal mass ratio of TPT back sheet to LiCoO2 is closed to 1: 1. Hence, this research offers a sustainable, high-efficiency, and industry-feasible technology for the extraction of Li and Co coupling with the dismantling of the waste PV models and thereby contributing to the ease of Li supply crisis as well as the circular economy of the LIBs and PV system.",Lithium-ion batteries (LIBs),pyrolysis,500 Â°C,"LiCoO2, water-soluble Li2CO3, water-insoluble CoO/Co",500,Lithium (Li),98.5,recovery rate,Li,98.50%,,,,,,,,,125.25,2001362.4
88,10.1016/j.wasman.2022.09.026,NaOH-assisted low-temperature roasting to recover spent LiFePO4 batteries,"Decreasing the operating temperature of pyrometallurgical methods for recycling spent lithium-ion batteries (LIBs) is key to reducing energy consumption and cost. Herein, a NaOH-assisted low-temperature roasting approach is proposed to recover spent LiFePO4. During roasting, NaOH acts as an oxidizing agent to oxidize Fe (II) to Fe3O4 at 150Â°C, thus collapsing its stable olivine structure while PO4 3- capturing Li+ and Na+ to form Li2NaPO4 and LiNa5(PO4)2. The obtained Fe3O4 is then separated, and the resulting Li salt can be further recovered as Li3PO4 with a Li recovery efficiency of 96.7 % and a purity of 99.9 %. Economic and environmental analysis based on the EverBatt model shows that this low-temperature strategy reduces energy consumption and greenhouse gas (GHG) emissions, thus increasing the potential profit. Overall, NaOH-assisted low-temperature roasting is a prospective strategy that broadens the application of NaOH as an oxidant and opens up a new avenue for decreasing the temperature of recovering spent LiFePO4 by pyrometallurgy.",Lithium-ion batteries (LIBs),NaOH-assisted low-temperature roasting,150Â°C,"Fe3O4, Li3PO4",150,Lithium (Li),96.7,recovery efficiency,Li,96.70%,,,,,,,,,275.55,532130.43
90,10.1016/j.jiec.2019.06.023,Effective leaching and extraction of valuable metals from electrode material of spent lithium-ion batteries using mixed organic acids leachant,"The present work focuses on simultaneous recycling of Li and Co from crushed products of mixed electrode materials using mixed organic acids, in which benzenesulfonic acid and formic acid were cooperatively used as the leaching reagents. Results show that the optimal leaching efficiency of 97% Co and 99% Li were obtained under the conditions of 1.3mol/L benzenesulfonic acid, 1.5mol/L formic acid, a solid to liquid (S/L) ratio of 30g/L, and 40min reaction time at 50Â°C. Meanwhile, the leaching of Li and Co fits well to logarithmic rate model with apparent activation energy of 32.7 and 47.0kJ/mol in this given leaching system, respectively. Besides, cobalt was directly recovered from the leach liquor as pure cobalt benzene sulfonic with the recovery efficiency of 99%, and lithium can be entirely precipitated by adding phosphoric acid. Further, the reaction mechanism involves the leaching-hydrating-complexing model of LiCoO2 particles was proposed based on the dissolution behavior of metals and then verified by morphological and phase characterization (i.e. FT-IR, XRD and SEM-EDS) of the recycling product. The whole process is found to be effective and sustainable for recovery of Li, Co and graphite from mixed industrial crushing product of spent LIBs.",Lithium-ion batteries (LIBs),leaching-hydrating-complexing model of LiCoO2 particles,"1.3mol/L benzenesulfonic acid, 1.5mol/L formic acid, a solid to liquid (S/L) ratio of 30g/L, 40min reaction time at 50Â°C","pure cobalt benzene sulfonic, graphite",50,Cobalt (Co),99,recovery efficiency,Co,99%,,,,,,,,,32.8,12474
98,10.1016/j.wasman.2022.11.002,Repurposing of spent lithium-ion battery separator as a green reductant for efficiently refining the cathode metals,"Developing green and high-efficient pyrometallurgy processes to recycle precious metals from spent lithium-ion batteries (LIBs) is of great importance for resource sustainability and environmental protection. Herein, a novel reduction roasting approach relying on spent LIB separator to refine the spent cathode is proposed. The efficiency of repurposing separator as a reductant for roasting the spent LiCoO2 cathode and the underlying mechanisms were investigated. After the separator-mediated roasting at 500 Â°C for 2 h, Li+ leaching efficiency of the cathode reached 93.2 %, >2.6 times higher than those after roasting without reductant (25.2 %) or with benchmark reductant graphite (26.1 %). Under the separator-added roasting condition, the cathode was converted to the desired products, CoO and Li2CO3. Based on the analysis of in-situ reaction using thermogravimetric/differential scanning calorimetry and pyrolysis gas species identification, the separator-mediated reduction roasting of cathode was composed of two stages, i.e., reducing gas generation due to separator pyrolysis, followed by the reducing gas mediated LiCoO2 reduction. During the process, the generated C2H4 and CO dominated the reduction. The use of co-existing separator to recover precious metals from spent LIBs is an effective and sustainable strategy to maximize the utilization of spent LIBs.",Lithium-ion batteries (LIBs),roasting,500 Â°C for 2 h,CoO and Li2CO3,500,Lithium (Li),93.2,leaching efficiency,Li,93.20%,,,,,,,,,567.8,1893674.88
