Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature
11,10.1016/j.wasman.2017.02.011,Leaching process for recovering valuable metals from the LiNi1/3Co1/3Mn1/3O2 cathode of lithium-ion batteries,"In view of the importance of environmental protection and resource recovery, recycling of spent lithium-ion batteries (LIBs) and electrode scraps generated during manufacturing processes is quite necessary. An environmentally sound leaching process for the recovery of Li, Ni, Co, and Mn from spent LiNi1/3Co1/3Mn1/3O2-based LIBs and cathode scraps was investigated in this study. Ehâ€“pH diagrams were used to determine suitable leaching conditions. Operating variables affecting the leaching efficiencies for Li, Ni, Co, and Mn from LiNi1/3Co1/3Mn1/3O2, such as the H2SO4 concentration, temperature, H2O2 concentration, stirring speed, and pulp density, were investigated to determine the most efficient conditions for leaching. The leaching efficiencies for Li, Ni, Co, and Mn reached 99.7% under the optimized conditions of 1M H2SO4, 1vol% H2O2, 400rpm stirring speed, 40g/L pulp density, and 60min leaching time at 40Â°C. The leaching kinetics of LiNi1/3Co1/3Mn1/3O2 were found to be significantly faster than those of LiCoO2. Based on the variation in the weight fraction of the metal in the residue, the â€œcubic rate lawâ€ was revised as follows: Î¸(1âˆ’ f)1/3 =(1âˆ’ kt/r 0 Ï), which could characterize the leaching kinetics optimally. The activation energies were determined to be 64.98, 65.16, 66.12, and 66.04kJ/mol for Li, Ni, Co, and Mn, respectively, indicating that the leaching process was controlled by the rate of surface chemical reactions. Finally, a simple process was proposed for the recovery of valuable metals from spent LiNi1/3Co1/3Mn1/3O2-based LIBs and cathode scraps.",Lithium-ion batteries (LIBs),leaching process,"1M H2SO4, 1vol% H2O2, stirring speed: 400rpm, pulp density: 40g/L, leaching time: 60min at 40°C","Li, Ni, Co, and Mn",40
12,10.1016/j.cej.2022.137507,"Downstream recovery of Li and value-added metals (Ni, Co, and Mn) from leach liquor of spent lithium-ion batteries using a membrane-integrated hybrid system","The end-of-life management of a large number of discarded lithium-ion batteries (LiBs) has become a global issue because of the steady increase in their usage every year. In this study, a novel membrane-integrated hybrid system was developed for recycling commercially valuable metals while treating acidic leach liquor obtained from spent LiBs (mostly LiFePO4 type). Alkaline (NaOH and NH4OH)-pretreated leach liquor (pH adjusted to 5.53) was ultrafiltered to ensure the effective removal of Fe and Al and reduce the turbidity (âˆ¼1.6 NTU) prior to processing in a nanofiltration system. The nanofiltration membrane (VNF2) was applied successfully to obtain the rejection values of 92.5% (Ni2+), 94.6% (Co2+), and 95.8% (Mn2+) while permeating > 89.6% of Li+ with 7.5 L/m2Â·h of flux under optimized conditions of transmembrane pressure (10 bar) and crossflow rate (2.25 m3/h) in the recirculation mode. The fractionation of monovalent ions from bivalent ions was performed in a concentrated mode to enrich the bivalent metal ions, Ni2+, Co2+, and Mn2+ from 0.74, 0.52, and 0.63 g/L to 6.14, 4.59, 5.62 g/L, respectively, at 90% recovery of the feed solution. The Li+ (21.1 g/L) that was contained in the nanofiltrate permeate stream was crystallized into Li2CO3; a purity of 99.5 wt% was obtained at 88.2% recovery using 4 M K2CO3 at an operating temperature of 70 Â°C. Hence, the proposed novel system can lead to the development of a clean and sustainable process for the recycling of precious metal ions from end-of-life LiBs for reuse on a commercial scale.",Lithium-ion batteries (LIBs),novel membrane-integrated hybrid system,"pH adjusted: 5.53, flux: 7.5 L/m2·h, 10 bar, crossflow rate: 2.25 m3/h, 4 M K2CO3 at an operating temperature of 70 °C",Fe and Al,70
13,10.1016/j.watres.2023.120300,A dual-cycle regeneration to recover high-value and high-purity FePO4 from real wastewater for Li-battery application,"The recovery of high-purity and high-value FePO4 raw materials from wastewater has great prospects in LiFePO4 battery industry due to the huge demand for new energy vehicle. However, the conventional in-situ FePO4 precipitation, as well as ex-situ PO4 3âˆ’ adsorption-alkali regeneration, was incapable of efficiently obtaining high-purity products. To solve these problems, a dual-cycle regeneration method of Fe-NH2-polyacrylonitrile (PAN) adsorbent and H2SO4 desorbing solution was proposed to ex-situ FePO4 recovery from wastewater for Li-battery application. Benefitted from coordination interaction and electrostatic attraction, the maximum PO4 3âˆ’ adsorption capacity of Fe-NH2-PAN reached 73.1 Â± 0.4 mg/g. The average PO4 3âˆ’ removal rate of continuous flow devices were 88.5% and 91.3% when treating low-P-concentration (0.22 mg/L) municipal wastewater (MW) and high-P-concentration (48.9 mg/L) slaughterhouse wastewater (SW) respectively. Furthermore, high-purity FePO4 analyzed by XRD spectra was achieved from the desorption solution at pH âˆ¼1.6, resulting in the ultrahigh P recovery efficiencies of 91.4 Â± 3.2%âˆ’96.3 Â± 2.5% for SW and 82.7 Â± 3.5% for MW. Besides, the LiFePO4/C electrodes made of recycled FePO4 exhibited a better discharge capacity (37.3 âˆ’ 55.8 mAh/g) than that of commercial FePO4 agent (32.2 âˆ’ 35.1 mAh/g) from 80 to 132 cycles, which showed the promising feasibility of recovering FePO4 from wastewater for Li-battery application.",LiFePO4 battery,"dual-cycle regeneration method of Fe-NH2-polyacrylonitrile (PAN) adsorbent and H2SO4 desorbing solution, XRD spectra",pH ∼1.6,FePO4 raw materials,
14,10.1016/j.seppur.2018.09.019,Resource recovery of critically-rare metals by hydrometallurgical recycling of spent lithium ion batteries,"The increasing demand for critical metals and mounting pressure on the environmental impact of solid waste disposal have widely attracted the recycling of spent lithium ion batteries (LIBs). Although the hydrometallurgical recycling of LiCoO2 cathode materials from spent LIBs has been commonly investigated, the studies on LiNixCoyMnzO2 type cathode materials are infrequent. Hence, the present work is focused on sulfuric acid leaching of LiNixCoyMnzO2 cathode material for resource recovery of all the critical and rare metals from spent LIBs. The process parameters viz., pulp density, acid concentration, the dosage of reducing agent (i.e., H2O2), time, and temperature have been optimized for leaching of cathode powder (of weight composition: 7.6% lithium, 20.48% cobalt, 19.47% manganese, and 19.35% nickel). The maximum 92% lithium and nickel, 68% cobalt, and 34.8% manganese could be leached while leaching a 5% pulp density in 3.0â€¯M H2SO4 without H2O2 at 90â€¯Â°C. Leaching efficiencies of metals were found to be increased within 30â€¯min and reaching to >98% by adding 4â€¯vol% H2O2 even at a lower temperature, 50â€¯Â°C. Thereafter selective precipitations of manganese and nickel were carried out from leach liquor using KMnO4 and C4H8N2O2 as suitable precipitants, respectively. Subsequently, a 2-stage solvent extraction using 0.64â€¯M Cyanex 272 (50% saponified) at equilibrium pH 5.0 and O:A of 1:1 was employed for recovery of a highly pure solution of CoSO4. Finally, lithium could be precipitated at Li+:Na2CO3 of 1.2:1.0 and a process flow-sheet has been proposed for the recycling of spent LIBs.",Lithium-ion batteries (LIBs),"sulfuric acid leaching, 2-stage solvent extraction","pulp density: 5%, H2SO4 without H2O2: 3.0 M, 90 °C, 4 vol% H2O2 even at a lower temperature: 50 °C, pH 5.0 and O:A of 1:1",highly pure solution of CoSO4,90
15,10.1016/j.seppur.2024.127069,"A facile route for the efficient leaching, recovery, and regeneration of lithium and iron from waste lithium iron phosphate cathode materials","The recycling of lithium iron phosphate power batteries that have exploded in retirement is urgent, but the focus and difficulty of the recycling is the effective recovery of lithium and iron elements in the cathode active material. In this study, the cathode sheets and other components of the lithium-ion batteries were obtained by pretreatment, and the cathode active material and the Al foil of the collector were recovered by stirring with dilute alkali solution (optimized conditions of alkali solution concentration 0.075 mol L-1, liquidâ€“solid ratio 20 mL gâˆ’1, and stirring time 40 min). The H2SO4-H2O2 system was used to leach used lithium iron phosphate cathode powder, the leaching process conditions were optimized and the leaching mechanism was revealed. The leaching rates of Li and Fe elements reached 98.79 % and 94.97 %, respectively, at a H2SO4 concentration of 2.5 mol L-1, a H2O2 dosage of 6 mL, a liquidâ€“solid ratio of 25 mL gâˆ’1, a leaching temperature of 60 Â°C and a leaching time of 60 min. The pH value was precisely adjusted in the chemical precipitation method to recover lithium and iron elements from cathode active material. The recovered products FePO4 and Li2CO3 were used as the precursors for the regeneration of LiFePO4 cathode material. The electrochemical performance of LiFePO4/C materials regenerated at 700 Â°C from the raw material with a lithium to iron molar ratio of 1.03:1 was relatively good, with a first discharge specific capacity of 160.1 mAh g-1 at 0.1 C, and a charge/discharge efficiency of 96.70 % for the first cycle. The good electrochemical performance was still maintained at a higher rate, with a capacity retention of 99.7 % after 100 cycles at 1 C.",Lithium iron phosphate (LiFePO4) batteries,leaching process,"alkali solution concentration 0.075 mol L-1, liquid–solid ratio 20 mL g−1, and stirring time 40 min), H2SO4 concentration of 2.5 mol L-1, a H2O2 dosage of 6 mL, a liquid–solid ratio of 25 mL g−1, a leaching temperature of 60 °C and a leaching time of 60 min, 700 °C","lithium and iron, cathode active material and the Al foil of the collector ",700
16,10.1016/j.mineng.2023.108169,"Extraction of pure Co, Ni, Mn, and Fe compounds from spent Li-ion batteries by reductive leaching and combined oxidative precipitation in chloride media","The redox equilibria â€“ also taking chloroâ€“complexation into account â€“ and the thermodynamics of the HCl â€“ Co â€“ Ni â€“ Mn system have been examined. The leaching efficiencies of the LiCoO2 (LCO), LiNiMnCoO2 (NMC111), and LiFePO4 (LFP) black masses were studied in the 1 â€“ 10 M HCl concentration and the 25 â€“ 95 Â°C temperature ranges. A minimum of 2 M HCl concentration with an 80-minute contact time at 95 Â°C was sufficient to achieve > 98 % leaching yields from the LCO material. By increasing the HCl concentration to 6 M, the leaching time could be halved. The NMC cathode material could even be leached completely at 80 Â°C with 2, 4, 8, and 10 M HCl in 50, 40, 10, and 8 min, respectively. The same yield could be achieved even at only 25 Â°C using 6, 8, and 10 M HCl for âˆ¼ 310, 125, and 50 min, respectively. A relation was found between the chloride ion activity and the leaching yields, while the evolution of Cl2 was also examined to help explain leaching kinetics. The purity of the graphite residue reached 99.9 % (referring to Co, Ni, Mn, Li) after two cross-current leaching steps. The oxidative precipitation â€“ using hypochlorite solutions - partially generated by utilizing the Cl2 from leaching - was examined in the 1â€“6 pH range showing that selectivity significantly increases with decreasing pH, but the degree of reagent utilization also decreases. Kinetic factors were also pointed out to markedly affect selectivity. The combined hydrolyticâ€“oxidative precipitation process could recover 96â€“98 % pure raw oxides, which were further refined to 98â€“99.8 % purity by scrubbing in acidic MnSO4 and CoSO4 solutions.",alkaline batteries,"acid leaching of a washed residue, alkaline leaching of the original residue,  microwave- or ultrasound-assisted leaching","acid leaching (1.5mol/L H2SO4, 3h, 80°C), alkaline leaching (6mol/L NaOH, 3h, 80°C), microwave-assisted leaching (1 cycle, 30s, 1mol/L H2SO4), ultrasound-assisted leaching (2min, 0.1p, 20% amplitude, 1mol/L H2SO4)",Zn and Mn,80
17,10.1016/j.wasman.2016.12.002,Selective leaching of Zn from spent alkaline batteries using environmentally friendly approaches,"The main aim of this work was to evaluate the possibility of using microwave or ultrasound to assist the efficient and selective leaching of Zn from spent alkaline batteries and compare the results with those obtained using the conventional method. Two different strategies were applied: acid leaching of a washed residue and alkaline leaching of the original residue. In both (acid and alkaline) approaches, the use of microwave- or ultrasound-assisted leaching increased the extraction of Zn compared with the best results obtained using conventional leaching [acid leaching (1.5mol/L H2SO4, 3h, 80Â°C), 90% of Zn extracted; alkaline leaching (6mol/L NaOH, 3h, 80Â°C), 42% of Zn extracted]. With acid leaching, 94% of the Zn was extracted using microwave-assisted leaching (1 cycle, 30s, 1mol/L H2SO4), and 92% of the Zn was extracted using ultrasound-assisted leaching (2min, 0.1p, 20% amplitude, 1mol/L H2SO4). Ultrasound-assisted leaching resulted in a more selective (Zn/Mn ratio of 5.1) Zn extraction than microwave-assisted leaching (Zn/Mn ratio of 3.5); both processes generated a concentrated Zn solution (â©¾18.7g/L) with a purity (83.3% and 77.7%, respectively) that was suitable for electrowinning. With alkaline leaching, microwave- (1 cycle, 3 min, 4mol/L NaOH) and ultrasound-assisted (14min, 0.1p, 20% amplitude, 4mol/L NaOH) leaching extracted about 80% of the Zn and less than 0.01% of the Mn, which resulted in lesser concentrated Zn solutions (approximately 16.5g/L) but with high purity (>99.5%) that was suitable for the recovery of Zn by precipitation. The microwave- and ultrasound-assisted leaching strategies used in this work proved to be efficient and environmentally-friendly approaches for the extraction of Zn from spent alkaline residues since a concentrated Zn solution with adequate purity for subsequent Zn recovery was obtained using significantly decreased leaching times and concentrations of chemicals.",Lithium-ion batteries (LIBs),roasting and water leaching,"600 °C for 30 min, water leaching at 60 °C for 30 min","Li, Mn, Co, and Ni",600
18,10.1016/j.hydromet.2022.105865,Selective leaching of Li from spent LiNi0.8Co0.1Mn0.1O2 cathode material by sulfation roast with NaHSO4â€§H2O and water leach,"Extensive research efforts have been made in recycling spent lithium-ion batteries; however, there has been little focus on the selective recovery of lithium from spent lithium-ion batteries. In this paper, we report a new process for selective extraction of lithium from spent lithium-ion power batteries by roasting a mixture of LiNi0.8Co0.1Mn0.1O2 and NaHSO4Â·H2O followed by water leaching. The most suitable conditions included roasting LiNi0.8Co0.1Mn0.1O2:NaHSO4Â·H2O at 600 Â°C for 30 min in a mass ratio of 1:1.40, followed by water leaching at 60 Â°C for 30 min with a liquid/solid ratio of 25:1 (mL/g). Under the optimal conditions, extraction efficiencies of 99.3%, 0.01%, 3.69%, and 3.90% for Li, Mn, Co, and Ni, respectively, were obtained. X-ray diffraction, in situ X-ray diffraction, scanning electron microscopy, X-ray photoelectron spectroscopy, thermogravimetryâ€“differential scanning calorimetry, and thermogravimetryâ€“mass spectrometry were performed to investigate the transformation of Li, Ni, Co, and Mn in the LiNi0.8Co0.1Mn0.1O2â€“NaHSO4Â·H2O roasting system. The results demonstrated that the SO3 produced by thermal decomposition of NaHSO4Â·H2O considerably affected the transformation of Li, Ni, Co, and Mn in the LiNi0.8Co0.1Mn0.1O2. The surface morphology of the roasted samples showed evidence of sintering and agglomeration. The thermodynamic analysis indicated that the roasting reaction is feasible and that the selective extraction of Li can be achieved by controlling the additive ratio of NaHSO4Â·H2O.","rechargeable batteries, waste saggar",leaching process,5–80 °C,lithium,80
19,10.1016/j.jece.2023.110407,"Hydrometallurgical recycling of lithium from waste saggar: Studies on influential role of acid/alkaline additives, leaching kinetics and mechanism","Waste recycling has become crucial with the increasing attention paid to environmental rules and the fast-depleting resources of critical elements. Soaring demands for lithium in cathode materials of rechargeable batteries result in a surge in waste saggar after being used in the calcination of cathode precursor. The recycling of lithium from waste saggar is therefore imperative due to the high supply-risk of lithium. Herein, waste saggar composed of various mineral phases (26.26 % LiAlSi4O10 â‰… 0.6 % Li; 6.34 % Li4SiO4 â‰… 1.47 % Li; 0.79 % LiOHâˆ™H2O â‰… 0.13 % Li; 0.03 % Li2CO3 â‰… 0.01 % Li) was leached in water for lithium extraction; while the effects of NaOH, Ca(OH)2, and H2SO4 as potential additives were examined under a wide temperature range of 5â€“80 Â°C. Interestingly, the observed order of leaching efficiency at lower temperature (20 Â°C) H2SO4 > NaOH > Ca(OH)2 was in variance with that at 80 Â°C (NaOH > H2SO4 Ca(OH)2). The apparent activation energy for lithium extraction was determined to be 29.8 kJ/mol using NaOH, 33.8 kJ/mol using Ca(OH)2, and 14.1 kJ/mol using H2SO4, indicating that the overall leaching process follows a mixed-controlled mechanism. The maximum efficiency of 94 % Li-extraction was achieved with NaOH which was used for the precipitation recovery of Li2CO3 of purity above 99 %.",LiFePO4 battery,H3PO4 leaching and precipitation without alkali addition,"H3PO4 concentration of 6 mol L−1, liquid-solid ratio of 7.5 mL g−1, leaching temperature of 75 °C, and leaching time of 180 min, dilution ratio of 3.5, temperature of 90 °C, and crystallization time of 4 h",Fe and P,90
20,10.1016/j.jclepro.2024.141194,An economical and closed-loop hydrometallurgical method to prepare battery-grade iron phosphate from delithiated LiFePO4 cathode scrap,"The economical recovery of Fe and P poses a significant challenge in the comprehensive recovery of spent LiFePO4 batteries. A novel approach for the preparation of battery-grade FePO4Â·2H2O from iron phosphate residue by H3PO4 leaching and precipitation without alkali addition was proposed in this study. Under the optimized conditions of H3PO4 concentration of 6 mol Lâˆ’1, liquid-solid ratio of 7.5 mL gâˆ’1, leaching temperature of 75 Â°C, and leaching time of 180 min, the leaching rates of 99.2% and 98.0% were achieved for Fe and P, respectively. During the leaching process, first dissolved Fe and P will recombine to form FePO4Â·2H2O, whereas the complete dissolution of FePO4Â·2H2O requires an increase in leaching temperature. Subsequently, 93.5% of Fe in the leaching solution can be precipitated as FePO4Â·2H2O at dilution ratio of 3.5, temperature of 90 Â°C, and crystallization time of 4 h. The mother liquor can be employed as a leaching agent after simple evaporation; thus, the closed-loop hydrometallurgical method avoids wastewater emissions. The LiFePO4/C cathode materials synthesized from FePO4Â·2H2O precursors exhibited an initial discharge capacity of 157.6 mAh gâˆ’1 at 0.1 C. After 100 cycles at 1 C, the reversible specific capacity remained 136.2 mAh gâˆ’1 with a capacity retention rate of 100%. This study presents an economical and environmental-friendly method for recycling iron phosphate residue, which is promising to address a crucial problem in the comprehensive recovery of spent LiFePO4 batteries.",Lithium-ion batteries (LIBs),oxidizing roasting process,500–800 °C,"Li3Fe2(PO4)3, FePO4 and Li3PO4",800
21,10.1016/j.cej.2021.133232,Closed-loop regeneration of battery-grade FePO4 from lithium extraction slag of spent Li-ion batteries via phosphoric acid mixture selective leaching,"FePO4 regeneration from lithium extraction slag (LES) is a key link in the closed-loop recycling of LiFePO4, but this link has not yet been effectively achieved. This study presents a selective leaching treatment for removing impurities from LES, and then the battery-grade FePO4 is recovered. The leaching efficiency of impurity elements such as Ni, Cu, and Mn can reach up to 99.53%, 98.08%, and 97.65%, respectively, while the main element of Fe and P remain as low as 0.3% and 1.6%, and recovered FePO4 (R-FePO4) conformed to China Chemical Industry Standard for battery-grade FePO4 (HG/T 4701â€“2014). The leaching experiment shows that H3PO4 treatment contributes to obtaining excellent crystalline FePO4, while the addition of HCl mainly enhanced the leaching performance of metal impurities. The optimal conditions for recovering battery-grade FePO4 were: 1.5 mol/L H3PO4, H3PO4/HCl molar ratio of 3:1, a liquidâ€“solid ratio of 10 mL/g, leaching at 90 Â°C for 3 h. The thermodynamics of the leaching reactions was analyzed to determine the feasibility of leaching impurities and crystallizing FePO4 from LES. The composition and structure of the regenerated FePO4 were restored, and the electrochemical performance reached the same level as commercial materials. In addition, the cost of R-FePO4 is calculated to be $1.35 kgâˆ’1, which is about 32.5% lower than the cost of commercial FePO4 (C-FePO4, $2.0 kgâˆ’1). This work presents a potential â€œwaste-to-wealthâ€ approach to guide the efficient and environmentally friendly recycling of spent Li-ion batteries (LIBs).",Lithium-ion batteries (LIBs),"electrolysis, leaching process","solid/liquid ratio of 15 g/L at a current density of 50 mA/m2 and 80 °C for 4.5 h, current density of 40 mA/m2, 70 °C and pH 2.5","Li, Co, Ni and Mn",80
22,10.1016/j.wasman.2024.07.018,Novel electrochemical process for recycling of valuable metals from spent lithium-ion batteries,"Effective recovery of Li, Co, Ni and Mn from cathode materials of spent lithium-ion batteries (LIBs) has become a global concern. In this study, electrolysis of copper sulfate to produce sulfuric acid and electrons were utilized to recover Li, Co, Ni and Mn from spent LIBs. The obtained results showed that 93 % of Ni, 91 % of Co, 89 % of Mn and 94 % of Li were leached and 99 % of Cu was deposited during leaching process by adopting the 0.225 mol/L of copper sulfate with a solid/liquid ratio of 15 g/L at a current density of 50 mA/m2 and 80 Â°C for 4.5 h. Then, a current efficiency of 72 % for the cathode and 30 % for the anode was achieved at a current density of 40 mA/m2, 70 Â°C and pH 2.5 during electrodeposition process. The Ni-Co deposition followed the principle of anomalous codeposition and the complete deposition time of Co, Ni and Mn were 3 h, 9 h and 10 h, respectively. Eventually, the Ni, Co, Mn, Li and Cu can be recovered as Ni-Co alloy, MnO2 and Li2CO3 and Cu metals with the corresponding recovery rates of 99.40 %, 91.00 %, 90.68 %, 85.59 % and 89.55 %, respectively. This study proposes a promising strategy for recycling cathode materials from spent LIBs without addition of chemical reductants and acids.",Lead Acid Battery,low-temperature thermochemical reduction,"M (SO4 2−: TPb) molar ratio of 1:1, roasting temperature, and time of 340 °C and 1.5 h, respectively","lead, (NH4)2SO4 and (NH4)2CO3",340
